Id,Have,Base,Name,Sub Base,Ingredient,Ingredient Type,Amount,Units,Link
102,No,Cordial,Old Friend,Campari,Grapefruit Juice,Fruit,0.75,Ounce,https://www.diffordsguide.com/cocktails/recipe/4258/old-friend
160,No,Cordial,Brazilian Monk,Frangelico,Crème de Cacao (Dark),Cordial,1,Ounce,http://www.drinksmixer.com/cat/2384/
104,Yes,Cordial,Shaken Campari,Campari,Campari,Cordial,2,Ounce,https://www.campari.com/our-cocktails
105,Yes,Cordial,Shaken Campari,Campari,Ice Cream,Mixer,0,Shake,https://www.campari.com/our-cocktails
106,No,Cordial,Sorrentino,Campari,Campari,Cordial,0.75,Ounce,https://www.diffordsguide.com/cocktails/recipe/4611/sorrentino-cocktail
107,No,Cordial,Sorrentino,Campari,Limoncello,Cordial,1,Ounce,https://www.diffordsguide.com/cocktails/recipe/4611/sorrentino-cocktail
108,No,Cordial,Sorrentino,Campari,Soda Water,Mixer,2,Ounce,https://www.diffordsguide.com/cocktails/recipe/4611/sorrentino-cocktail
51,Yes,Cordial,Americano,Campari,Martini Rosso,Vermouth,1,Ounce,https://www.campari.com/our-cocktails
110,No,Cordial,The Ribbon,Campari,Fino Sherry,Wine,0.66,Ounce,https://www.diffordsguide.com/cocktails/recipe/4124/the-ribbon
54,Yes,Cordial,Boulevardier,Campari,Martini Rosso,Vermouth,1,Ounce,https://www.campari.com/our-cocktails
112,No,Cordial,The Ribbon,Campari,Blood Orange Liqueur,Cordial,0.33,Ounce,https://www.diffordsguide.com/cocktails/recipe/4124/the-ribbon
113,No,Cordial,The Ribbon,Campari,Campari,Cordial,0.33,Ounce,https://www.diffordsguide.com/cocktails/recipe/4124/the-ribbon
170,No,Cordial,Chocolate Squirrel,Frangelico,Crème de Cacao (Dark),Cordial,0.75,Ounce,http://www.drinksmixer.com/cat/2384/
115,Yes,Cordial,Cold Shower,Crème de Menthe,Club Soda,Soda,4,Ounce,http://www.drinksmixer.com/cat/2406/
190,No,Cordial,Friar Tuck,Frangelico,Crème de Cacao (Dark),Cordial,1,Ounce,http://www.drinksmixer.com/cat/2384/
205,No,Cordial,Monk's Butt,Frangelico,Crème de Cacao (Dark),Cordial,0.25,Ounce,http://www.drinksmixer.com/cat/2384/
118,No,Cordial,Dead Grasshopper,Crème de Menthe,Milk,Mixer,1,Ounce,http://www.drinksmixer.com/cat/2406/
